No,IssueAccommodation,IssueDestination,IssueTransportation,IssueSeason,Arg. Label,Arg. Value,Text,Excited,Happy,Neutral,Sad,Angry,IssueAccommodationAgent,IssueDestinationAgent,IssueTransportationAgent,IssueSeasonAgent,IssueAccommodationHuman,IssueDestinationHuman,IssueTransportationHuman,IssueSeasonHuman,Domain,
232,House,Milan,Subway,Summer,"Preference-n-d","Winter","ok , let's use subway . let's go to milan and stay in a house . but , i can not go in winter . let's go in summer , please .",0.0,0.0,0.0,1.0,0.0,House,Barcelona,Subway,Winter,House,Milan,Car,Summer,Holiday2,
234,House,Istanbul,Subway,Summer,"Preference-p-r,Conditional Constraint-p-r","Istanbul,Subway;Istanbul","hi , i am living istanbul , and i have a house in there . let's come here and stay with me . subway of istanbul is really good . in summer , we can travel .",1.0,0.0,0.0,0.0,0.0,,,,,,,,,Holiday1,
236,House,Istanbul,Subway,Autumn,"Any","0","what about going in fall ? istanbul would be a good option to stay in a house . we can use metro also .",0.77,0.23,0.0,0.0,0.0,Hotel,Paris,Taxi,Winter,House,Istanbul,Subway,Summer,Holiday1,
238,House,Istanbul,Subway,Winter,"Rewarding-cc,Hard Constraint-p-d","Winter,Subway","subway is the best option for me . let's go in winter as you wish , but i want to go to istanbul and stay in a house .",0.77,0.23,0.0,0.0,0.0,Tent,Paris,Subway,Winter,House,Istanbul,Subway,Autumn,Holiday1,
240,House,Paris,Subway,Winter,"Preference-n-r,Conditional Constraint-p-r","Bike,Subway;Paris","what about paris ? we can rent a house in there . i do not know how to ride a bike , let's use subway . metro system in paris is really developed .",0.52,0.48,0.0,0.0,0.0,House,London,Bike,Winter,House,Istanbul,Subway,Winter,Holiday1,
242,House,Tokyo,Subway,Winter,"Preference-p-d,Rewarding-cc","Tokyo,Subway","tokyo is more preferable for me . let's go to tokyo in winter and use subway as you wish , if we stay in a house .",1.0,0.0,0.0,0.0,0.0,Tent,Tokyo,Subway,Winter,House,Paris,Subway,Winter,Holiday1,
244,Hostel,Berlin,Subway,Winter,"Conditional Constraint-p-d,Rewarding-cc","Berlin;Subway,Winter","what about staying in hostel in berlin ? germans subway system is also developed . we can go in winter as you wish .",0.26,0.74,0.0,0.0,0.0,Hotel,Paris,Subway,Spring,House,Tokyo,Subway,Winter,Holiday1,
246,House,Berlin,Bus,Winter,"Rewarding-cc,Preference-p-d,Conditional Constraint-p-d","Bus,House,Berlin;Winter","what about bus ? we can use bus if we stay in a home . berlin in winter would be good if we stay in a home .",0.09,0.57,0.35,0.0,0.0,House,Berlin,Taxi,Winter,Hostel,Berlin,Subway,Winter,Holiday1,
248,House,Berlin,Bus,Winter,"Preference-p-d","Bus","i am ok if we use bus ?",0.0,0.42,0.58,0.0,0.0,House,Berlin,Taxi,Winter,House,Berlin,Bus,Winter,Holiday1,
250,Hostel,Istanbul,Bike,Summer,"Any","0","let's go to istanbul in summer . we can ride a bike in file . we can stay in a hostel .",0.0,0.0,1.0,0.0,0.0,House,Berlin,Taxi,Winter,House,Berlin,Bus,Winter,Holiday1,
252,Hostel,Tokyo,Bike,Summer,"Any","0","what about tokyo then ?",0.0,0.0,1.0,0.0,0.0,House,London,Bike,Winter,Hostel,Istanbul,Bike,Summer,Holiday1,
254,Hostel,Tokyo,Bike,Autumn,"Any","0","what about fall ?",0.0,0.0,1.0,0.0,0.0,Hotel,Paris,Bus,Winter,Hostel,Tokyo,Bike,Summer,Holiday1,
256,Hostel,London,Subway,Spring,"Rewarding-cc,Rewarding-cc","London,Spring","if we will use subway and stay in a hostel , then i can go to london in spring .",0.0,1.0,0.0,0.0,0.0,Tent,London,Subway,Spring,Hostel,Tokyo,Bike,Autumn,Holiday1,
258,Caravan,Istanbul,Subway,Spring,"Rewarding-cc,Preference-p-d","Caravan,Istanbul","i can stay in a caravan if we go to istanbul .",0.0,0.0,1.0,0.0,0.0,Caravan,Paris,Taxi,Spring,Hostel,London,Subway,Spring,Holiday1,
260,Caravan,Paris,Subway,Spring,"Rewarding-cc,Rewarding-cc,Conditional Constraint-p-r","Paris,Caravan,Paris;Subway","ok , let's go to paris in spring and use caravan , if we use subway ? subway in paris would be great .",0.0,0.0,1.0,0.0,0.0,Caravan,Paris,Taxi,Spring,Caravan,Istanbul,Subway,Spring,Holiday1,
262,Hotel,Tokyo,Subway,Winter,"Rewarding-cc,Rewarding-cc,Preference-n-d","Tokyo,Winter,Tent","ok , let's go to tokyo in winter if we use subway . but , i can not stay in a tent . let's stay in a hotel ?",0.0,0.0,0.88,0.12,0.0,Tent,Tokyo,Subway,Winter,Caravan,Paris,Subway,Spring,Holiday1,
264,Hotel,Tokyo,Subway,Winter,"Any","0","no .",0.0,0.0,0.0,1.0,0.0,House,Berlin,Taxi,Winter,Hotel,Tokyo,Subway,Winter,Holiday1,
266,Hostel,Berlin,Subway,Winter,"Preference-p-d","Berlin;Winter","ok , let's go to berlin in winter as you wish , if we stay in a hostel and use subway .",0.0,0.0,0.0,1.0,0.0,House,Berlin,Taxi,Winter,Hotel,Tokyo,Subway,Winter,Holiday1,
268,House,Berlin,Bus,Winter,"Preference-p-d","Bus","if we go to berlin in winter and stay in a house , i want to use bus .",0.0,0.0,0.0,1.0,0.0,House,Berlin,Taxi,Winter,Hostel,Berlin,Subway,Winter,Holiday1,
270,House,Berlin,Bus,Winter,"Preference-n-r","Hotel","i have no money for hotel .",0.0,0.0,1.0,0.0,0.0,Hotel,Paris,Subway,Spring,House,Berlin,Bus,Winter,Holiday1,
272,Hotel,Tokyo,Subway,Winter,"Any","0","what about staying in a hotel in tokyo in winter ? we can use subway .",0.0,1.0,0.0,0.0,0.0,Tent,Tokyo,Subway,Winter,House,Berlin,Bus,Winter,Holiday1,
274,Hotel,Berlin,Subway,Spring,"Preference-p-d","Spring","spring is better for me . we can go to berlin and stay in a hotel in spring . we can use subway also .",0.0,1.0,0.0,0.0,0.0,Hotel,Paris,Subway,Spring,Hotel,Tokyo,Subway,Winter,Holiday1,
276,Hotel,Berlin,Subway,Spring,"Any","0","no .",0.0,0.0,0.0,0.0,1.0,Hotel,Paris,Subway,Spring,Hotel,Berlin,Subway,Spring,Holiday1,
278,Caravan,Paris,Subway,Spring,"Rewarding-cc","Paris","if we go to paris , i want to stay in a caravan .",0.0,0.0,0.0,1.0,0.0,Hotel,Paris,Subway,Spring,Hotel,Berlin,Subway,Spring,Holiday1,
280,House,Berlin,Bus,Winter,"Rewarding-cc,Rewarding-cc,Comparison","Berlin,Winter,Taxi","berlin in winter would be ok but , i want to stay in a house and use bus instead of taxi . taxi is expensive .",0.0,0.0,0.0,1.0,0.0,House,Berlin,Taxi,Winter,Caravan,Paris,Subway,Spring,Holiday1,
282,House,Berlin,Bus,Winter,"Any","0","no .",0.0,0.0,0.0,0.0,1.0,House,Berlin,Taxi,Winter,House,Berlin,Bus,Winter,Holiday1,
284,House,London,Bus,Winter,"Any","0","ok , let's go to london in winter . we can use bus and stay in a house ?",0.0,0.0,0.0,1.0,0.0,Tent,London,Taxi,Summer,House,Berlin,Bus,Winter,Holiday1,
286,Hostel,Berlin,Bus,Spring,"Any","0","hello ! let's go to berlin in spring . we can stay in a hostel , also we can use bus for transportation",0.0,1.0,0.0,0.0,0.0,,,,,,,,,Holiday1,
288,Hostel,Berlin,Bus,Spring,"Preference-p-r","Berlin","i want to go to berlin because its museums are amazing . in spring , we can stay in a hostel and use bus .",0.0,1.0,0.0,0.0,0.0,House,London,Taxi,Winter,Hostel,Berlin,Bus,Spring,Holiday1,
290,Hostel,Berlin,Taxi,Spring,"Rewarding-cc","Taxi","ok , let's use taxi as you wish , but i want to stay in a hostel in berlin in spring .",0.0,0.54,0.46,0.0,0.0,House,London,Taxi,Winter,Hostel,Berlin,Bus,Spring,Holiday1,
292,Hostel,Berlin,Taxi,Summer,"Any","0","then , let's go on summer ?",0.0,0.0,0.0,1.0,0.0,House,London,Subway,Summer,Hostel,Berlin,Taxi,Spring,Holiday1,
294,Tent,Berlin,Taxi,Spring,"Rewarding-cc","Spring","if we go in spring , i want to stay in a tent in berlin . we can also use taxi in there .",0.0,0.0,1.0,0.0,0.0,House,London,Taxi,Winter,Hostel,Berlin,Taxi,Summer,Holiday1,
296,Tent,Berlin,Taxi,Spring,"Preference-p-d","Berlin","but , i have not seen berlin yet . i want to visit the museums .",0.0,0.0,1.0,0.0,0.0,Hotel,London,Taxi,Winter,Tent,Berlin,Taxi,Spring,Holiday1,
298,Hostel,Tokyo,Taxi,Spring,"Hard Constraint-p-d","Taxi","taxi is the best option for me too . let's go to tokyo in spring , we can stay in a hostel .",0.0,1.0,0.0,0.0,0.0,House,Istanbul,Taxi,Winter,Tent,Berlin,Taxi,Spring,Holiday1,
300,Hostel,Tokyo,Taxi,Spring,"Conditional Constraint-n-d","Winter;London","winter in london ? are you crazy ? it always raining .",0.0,0.0,0.0,0.0,1.0,House,London,Taxi,Winter,Hostel,Tokyo,Taxi,Spring,Holiday1,
302,Hostel,London,Taxi,Spring,"Rewarding-cc","London","let's go to london as you wish , but i want it in spring in a hostel .",0.0,0.0,0.0,1.0,0.0,House,London,Taxi,Winter,Hostel,Tokyo,Taxi,Spring,Holiday1,
304,Hostel,London,Taxi,Spring,"Preference-n-d","House","i don't want to struggle with house .",0.0,0.0,0.0,1.0,0.0,House,London,Taxi,Autumn,Hostel,London,Taxi,Spring,Holiday1,
306,Tent,Istanbul,Taxi,Spring,"Any","0","let's stay in a tent in spring , we can go to istanbul and use taxi in there .",0.0,0.0,1.0,0.0,0.0,House,London,Taxi,Summer,Hostel,London,Taxi,Spring,Holiday1,
308,Tent,London,Subway,Spring,"Preference-n-d,Rewarding-cc","Winter,Subway","i can go to london , but winter is unacceptable for me . we can use subway as you wish .",0.0,0.0,0.86,0.14,0.0,House,London,Subway,Winter,Tent,Istanbul,Taxi,Spring,Holiday1,
310,Caravan,Berlin,Subway,Spring,"Rewarding-cc","Berlin;Spring","if we go to berlin in spring , we can stay in a caravan and use subway in there .",0.0,0.0,1.0,0.0,0.0,Hotel,London,Taxi,Summer,Tent,London,Subway,Spring,Holiday1,
312,Caravan,Berlin,Subway,Spring,"Conditional Constraint-n-d","House;London","i can not stay in a house in london . i want to go to berlin in spring and stay in a caravan . we can use subway in there .",0.0,0.0,0.68,0.32,0.0,House,London,Taxi,Summer,Caravan,Berlin,Subway,Spring,Holiday1,
314,Caravan,London,Bus,Spring,"Rewarding-cc","London","ok , let's go to london as you wish , if you accept going in spring , staying in a caravan and using bus .",0.0,0.0,0.0,1.0,0.0,Hotel,London,Taxi,Winter,Caravan,Berlin,Subway,Spring,Holiday1,
316,Caravan,London,Bike,Spring,"Preference-n-r","Taxi","taxi is expensive transportation . what about riding bike in london ?",0.0,0.0,0.86,0.14,0.0,House,Istanbul,Taxi,Spring,Caravan,London,Bus,Spring,Holiday1,
318,Caravan,Istanbul,Taxi,Spring,"Rewarding-cc,Rewarding-cc","Istanbul,Taxi","if we go to istanbul and use taxi , we should stay in a caravan in spring .",0.0,0.0,0.57,0.43,0.0,Tent,Istanbul,Taxi,Winter,Caravan,London,Bike,Spring,Holiday1,
320,Caravan,Amsterdam,Bike,Autumn,"Conditional Constraint-p-d","Amsterdam;Bike","have you ever think going to amsterdam in fall . in amsterdam , riding will be great . also , we can stay in a caravan .",0.0,1.0,0.0,0.0,0.0,,,,,,,,,Holiday2,
322,Caravan,Amsterdam,Bike,Autumn,"Comparison","Boston","i prefer amsterdam instead of boston . we can drink and dance with the girls in there . i always wonder staying in a caravan . in fall , we can ride bike in there .",0.0,1.0,0.0,0.0,0.0,House,Boston,Taxi,Winter,Caravan,Amsterdam,Bike,Autumn,Holiday2,
324,Caravan,Amsterdam,Taxi,Autumn,"Rewarding-cc","Taxi","let's do it like this , we will use taxi but we will stay in a caravan in amsterdam in fall . what do you think about this ?",0.0,0.0,1.0,0.0,0.0,House,Boston,Taxi,Winter,Caravan,Amsterdam,Bike,Autumn,Holiday2,
326,Caravan,Amsterdam,Taxi,Autumn,"Preference-n-r,Hard Constraint-n-d,Awareness Feedback","Hotel,Boston,0","hotel is expensive . do not insist on boston .",0.0,0.0,0.0,1.0,0.0,Hotel,Boston,Taxi,Summer,Caravan,Amsterdam,Taxi,Autumn,Holiday2,
328,Caravan,Amsterdam,Taxi,Spring,"Preference-n-r","Seoul","seoul is too far , let's go in spring .",0.0,0.0,1.0,0.0,0.0,Tent,Seoul,Taxi,Autumn,Caravan,Amsterdam,Taxi,Autumn,Holiday2,
330,Caravan,Amsterdam,Taxi,Winter,"Rewarding-cc,Rewarding-cc","Taxi,Winter","thank you , we will use taxi in winter , if we go to amsterdam and stay in caravan .",0.0,1.0,0.0,0.0,0.0,House,Amsterdam,Subway,Winter,Caravan,Amsterdam,Taxi,Spring,Holiday2,
